iter	Passed	Remaining
0	0	804
1	1	655
2	1	607
3	2	579
4	2	561
5	3	546
6	3	535
7	4	529
8	4	522
9	5	516
10	5	514
11	6	511
12	6	507
13	7	505
14	7	502
15	8	500
16	8	498
17	9	496
18	9	494
19	10	493
20	10	491
21	11	490
22	11	489
23	11	487
24	12	487
25	12	486
26	13	485
27	13	483
28	14	489
29	15	490
30	15	491
31	16	492
32	16	491
33	17	490
34	17	489
35	18	488
36	18	486
37	19	485
38	19	484
39	20	483
40	20	482
41	21	481
42	21	480
43	22	479
44	22	478
45	23	477
46	23	477
47	24	476
48	24	475
49	24	474
50	25	473
51	25	472
52	26	471
53	26	471
54	27	470
55	27	469
56	28	468
57	28	468
58	29	467
59	29	466
60	30	465
61	30	465
62	31	464
63	31	463
64	32	463
65	32	462
66	33	461
67	33	458
68	33	457
69	34	456
70	34	456
71	35	455
72	35	454
73	36	454
74	36	453
75	37	452
76	37	452
77	38	451
78	38	450
79	39	450
80	39	449
81	40	448
82	40	448
83	41	447
84	41	445
85	41	445
86	42	442
87	42	442
88	43	442
89	43	441
90	44	441
91	44	440
92	45	439
93	45	439
94	46	438
95	46	438
96	47	437
97	47	437
98	48	436
99	48	436
100	48	436
101	49	433
102	49	433
103	50	432
104	50	431
105	51	431
106	51	430
107	52	430
108	52	430
109	53	429
110	53	429
111	54	428
112	54	428
113	55	427
114	55	427
115	55	426
116	56	425
117	56	425
118	57	424
119	57	423
120	58	423
121	58	422
122	59	420
123	59	420
124	59	419
125	60	419
126	60	418
127	61	417
128	61	416
129	62	416
130	62	415
131	63	415
132	63	414
133	64	414
134	64	413
135	65	413
136	65	412
137	65	411
138	66	411
139	66	410
140	67	410
141	67	410
142	68	409
143	68	409
144	69	408
145	69	408
146	70	407
147	70	407
148	71	406
149	71	406
150	72	405
151	72	405
152	73	404
153	73	404
154	74	403
155	74	403
156	75	403
157	75	402
158	76	402
159	76	401
160	76	401
161	77	400
162	77	400
163	78	399
164	78	399
165	79	398
166	79	398
167	80	397
168	80	397
169	81	396
170	81	396
171	82	395
172	82	395
173	83	394
174	83	394
175	84	393
176	84	393
177	85	393
178	85	392
179	86	392
180	86	390
181	86	390
182	87	389
183	87	389
184	88	388
185	88	388
186	89	387
187	89	387
188	90	386
189	90	386
190	91	385
191	91	385
192	92	385
193	92	384
194	93	384
195	93	383
196	94	383
197	94	382
198	94	382
199	95	381
200	95	381
201	96	380
202	96	380
203	97	379
204	97	379
205	98	378
206	98	378
207	99	378
208	99	377
209	100	377
210	101	377
211	101	377
212	102	377
213	102	378
214	103	378
215	104	378
216	104	378
217	105	377
218	105	377
219	106	377
220	106	376
221	107	376
222	107	375
223	108	375
224	108	374
225	109	374
226	109	374
227	110	374
228	110	373
229	111	373
230	112	372
231	112	372
232	113	372
233	113	371
234	114	371
235	114	371
236	115	371
237	115	370
238	116	370
239	116	370
240	117	369
241	117	369
242	118	369
243	119	368
244	119	368
245	120	368
246	120	367
247	121	367
248	121	367
249	122	366
250	122	366
251	123	366
252	124	366
253	124	366
254	125	366
255	126	366
256	126	366
257	127	366
258	128	366
259	128	366
260	129	366
261	130	366
262	130	366
263	131	366
264	132	366
265	132	366
266	133	365
267	133	365
268	134	365
269	135	365
270	135	364
271	136	364
272	136	364
273	137	364
274	138	364
275	138	364
276	139	364
277	140	363
278	140	363
279	141	363
280	141	362
281	142	362
282	143	363
283	143	362
284	144	362
285	145	362
286	145	361
287	146	361
288	146	360
289	147	360
290	147	360
291	148	359
292	148	359
293	149	358
294	149	358
295	150	358
296	151	357
297	151	357
298	152	357
299	153	357
300	153	356
301	154	356
302	154	356
303	155	355
304	155	355
305	156	354
306	157	354
307	157	354
308	158	354
309	159	354
310	159	353
311	160	353
312	160	353
313	161	352
314	161	352
315	162	351
316	162	351
317	163	350
318	163	350
319	164	349
320	165	349
321	165	348
322	166	348
323	166	347
324	167	347
325	167	346
326	168	346
327	168	345
328	169	345
329	169	345
330	170	344
331	171	344
332	171	344
333	172	343
334	172	343
335	173	342
336	174	342
337	174	341
338	175	341
339	175	341
